slug,name,facebook-url
frome-pride,Frome Pride,https://www.facebook.com/profile.php?id=100091790779569
fff-mexico,Fridays For Future Mexico,https://facebook.com/vxfmexico
abqciqlovia,ABQ CiQlovía,https://facebook.com/abqciqlovia
beawitching,Beawitching Communities,https://www.facebook.com/beawitching
cowley-climate-collective,Cowley Climate Collective,https://www.facebook.com/profile.php?id=100090483507464
castopod,Castopod,https://www.facebook.com/castopod
sarbat-sikh-lgbt,Sarbat Sikh LGBT,https://www.facebook.com/lgbtsikh
frazier-mtn-pride-org,Frazier Mtn Pride,https://www.facebook.com/groups/fraziermtnpride
ernesettle-community-network,Ernesettle Community Network,https://ernesettlenetwork/
veganarchy,Veganarchy,https://www.facebook.com/profile.php?id=100090239202406
gm-food-sovereignty-project,Greater Manchester Food Sovereignty Project,https://fb.me/g/p_z5qSGQyqfVPLMWaN/DNCrbj2r
whitstable-foodies-market,Whitstable Umbrella Community Centre,https://www.facebook.com/profile.php?id=100094222651626
ukraine-war-archive,Ukraine War Archive,https://www.facebook.com/ukrainewararchive
otherwisemag,OtherwiseMag,https://www.facebook.com/otherwisemag
srbe,Scientist Rebellion Belgium,https://www.facebook.com/profile.php?id=100087351755107
xr-hautes-alpes,XR Hautes-Alpes,https://www.facebook.com/profile.php?id=100084277218075
kettenreaktion-osnabruck,Kettenreaktion Osnabrück,https://www.facebook.com/profile.php?id=100092694743462
antumbra-intermedia-events-ins,Antumbra Intermedia Events + Installations,https://www.facebook.com/antumbraintermedia
deburgers,deBurgers van Grobbendonk en Bouwel,https://www.facebook.com/deburgers
slow-circular-earth-uk,Slow Circular Earth UK,https://www.facebook.com/slowcircularearthuk/
york-together,York Together,https://www.facebook.com/York.Together
metapsychosis,Metapsychosis,https://www.facebook.com/metapsychosis.journal
feedthatkid,Feed that Kid Global,https://facebook.com/feedthatkid
macc_nyc,MACC NYC,https://www.facebook.com/MACCnyc
solidarity-economy-association,Solidarity Economy Association,https://www.facebook.com/solidarityeconomyassociation
kuumba-collective,The Ku’umba Collective,https://facebook.com/kuumbacollective
campbellarchive,Campbell Archive,https://www.facebook.com/CampbellBanners
hazel-grove-mutual-aid,Hazel Grove Mutual Aid,https://www.facebook.com/hazelgrove.help/
cutteslowe-greenhouse,Cutteslowe Greenhouse,https://www.facebook.com/p/Cutteslowe-Greenhouse-100088127298174/
horsell,Horsell Care Emergency Fund,https://www.facebook.com/HorsellCare/
organilab,Organilab,https://www.facebook.com/Organilab.org
friends-of-kingswood-house,Friends of Kingswood House,https://www.facebook.com/groups/610076744544614/?ref=share_group_link
femme-defensa,Femme Defensa,https://www.facebook.com/profile.php?id=100067451261531
kula-yoga-abq,Kula Yoga ABQ,https://www.facebook.com/KulayogaABQ
streetzofls,The Streetz of Los Santos,https://facebook.com/streetzofls
unashay-sanctuary,Únashay Sanctuary,https://www.facebook.com/unashayhome/
ehotransition,Eho! Transition,https://www.facebook.com/profile.php?id=100083285044961
