slug,name,git-url
drupal-contribution,Drupal Contribution,https://www.drupal.org/project/drupal_contribution
karrot,Karrot,https://codeberg.org/karrot/
lgbt,Postive impact for LGBTQ+ young people,https://www.youthmoves.org.uk/new-youth-moves-lgbt-group-starts
cupy,CuPy,http://github.com/cupy/cupy/
vvvebjs,Vvveb,https://github.com/givanz/Vvveb
prav-ios,Prav Messaging App for iOS,https://codeberg.org/prav
wownero,Wownero,https://git.wownero.com/wownero/wownero
lucide-icons,Lucide Icons,https://github.com/lucide-icons/lucide.git
onethird-project,One/Third Project,https://www.linkedin.com/company/one-third-project
forgefed,ForgeFed,https://codeberg.org/ForgeFed/ForgeFed
majstrownia,Majstrownia - Solarpunk Makerspace,https://codeberg.org/majstrownia
fridays-for-future-pavia,FridaysForFuture Pavia,https://linktr.ee/FFF_Pavia?fbclid=PAAaa-bxLyUIFRmgf4N5dbw5IgIIkMu6GtDIuOSu8anhPISMM9O5QyPWtq1V0
debian-gitlab,Debian Gitlab,https://salsa.debian.org/ruby-team/gitlab
node9,node9.org,https://codeberg.org/node9
staveley-with-ings-together,Staveley with Ings Together,https://www.facebook.com/staveleytogether/
adviseccr,Henry Foundation,https://adviseccr.com
rootcauses,RootCauses,https://rootcauses.org
dribdat,Dribdat,https://codeberg.org/dribdat
discordia-collective,Discordia Collective,https://iceshrimp.dev/
zirkus,zirk.us,https://zirk.us
kikinc,kikinc,https://www.github.com/kellyiskey
ethiotelecom-et-telebirr,Telebirr,https://github.com/Telebirr-ethionet-et/Telebirr.git
fundacion-razas-unicas,Foundation Razas Unicas - Colombia,https://fundacionrazasunicas.org
southside-community-currency,southside community currency,https://instagram.com/southsidecommunitycurrency
dredge-school-admission-system,Dredge School Admission System,https://sourceforge.net/projects/studentrecord/
darren-funds-for-work-truck,Darren funds for work truck,https://gitrepository.com/
tuanggo,tuanggo,https://tuanltd-pave.com/
spooniecreatives,Spoonie Creative Collective,https://www.instagram.com/spooniecreatives
nuneco,NuneCo: Know Why,https://codeberg.org/NuneCo/
msrobelsardar66sealscom,MS RÓBÊL SÁRDÁR,https://msrobelsardar.com
aptrs,APTRS,https://github.com/APTRS/APTRS/
fsci,Free Software Community of India,https://git.fosscommunity.in/community
dorrego,Dorrego,https://github.com/andrescastiglia/dorrego
yt-focus,Yt Focus,https://github.com/yt-focus/yt-focus
alohamaidsca,Aloha Maids of San Diego,https://facebook.com/alohamaids
dwebyvr,DWeb Vancouver,https://github.com/DWebYVR/notes
fedilab,Fedilab,https://codeberg.org/tom79/Fedilab
winterwellbeingsoton,WinterWellbeingSoton,https://www.facebook.com/groups/southampton.covid19.support
we-badingo,We Badingo,https://instagram.com/we_badingo?igshid=YmMyMTA2M2Y=
glastonbury-and-pilton-wildlife-sanctuary,Glastonbury and Pilton Wildlife Sanctuary,https://glastonburyandpiltonwildlifesanctuary.org
make-them-sailors,Make Them Sailors,https://www.instagram.com/makethemsailors/?hl=es
magpie-market,Magpie Market,https://codeberg.org/MagpieMarket/magpie-market-prototype
tqcrdiff,The Queer Common Room,https://www.instagram.com/tqcr_cardiff/
avmadrid,av.madrid,https://www.instagram.com/av.madrid/
limeleaf,Limeleaf Worker Collective,https://codeberg.org/limeleaf
voidd,VoiDD,https://codeberg.org/voidd
mk1206mk1206mk,Mk1206mk1206mk,https://docs.google.com/document/u/1/d/e/2PACX-1vQbiyK2Fe0jLdh4vb9BfHY4bJ1LCo4Qvy0jg9P29ZkiC8y_vKJ_1fNgIbV0p6UdvbcT8Ql1gVto8bf9/pub
klinika-ivmed,Клиника IVMED,https://ivmed.clinic/dopomizhni-reproduktyvni-tehnologiyi/ekstrakorporalne-zaplidnennya/
graph-tool,graph-tool,https://git.skewed.de/count0/graph-tool
flavin-baking,Flavin baking,https://www.sagebpffin.com
shia-quran-academy,Shia Quran Academy,https://almuntazirquranacademy.com/
