slug,name,github-url
ant-design-blazor,Ant Design Blazor,https://github.com/ElderJames/ant-design-blazor
openfisca,OpenFisca,https://github.com/openfisca
memos,Memos,https://github.com/usememos/memos
react-google-maps-api,React Google Maps Api,https://github.com/JustFly1984
swarmpit,Swarmpit,https://github.com/swarmpit
otree,oTree,https://github.com/oTree-org/oTree
futurecoder,futurecoder,https://github.com/alexmojaki/futurecoder
librepcb,LibrePCB,https://github.com/LibrePCB
reqnroll,Reqnroll,https://github.com/reqnroll
mue,Mue,https://github.com/mue
spire,Spire,https://github.com/epiccastle/spire
paris-typescript,Paris Typescript,https://github.com/ParisTypeScript
rhash,RHash,https://github.com/rhash
wewrite-app,WeWrite App,https://github.com/WeWriteApp
flutter_easy_localization,Easy Localization,https://github.com/aissat/easy_localization
iplug2,iPlug2 Developers,https://github.com/iPlug2/iPlug2
open-chemistry,Open Chemistry,https://github.com/OpenChemitry
eslint-plugin-import,eslint-plugin-import,https://github.com/import-js
entropic,entropic,https://github.com/entropic-dev
respec,respec,https://github.com/w3c/respec
sepheocoop,Sepheo Co-op,https://github.com/sepheocoop
googlecl,GoogleCL,https://github.com/vinitkumar/googlecl
joomla-cms,The Joomla! Project,https://github.com/joomla
eruda,eruda,https://github.com/liriliri/eruda
rete,Rete.js,https://github.com/retejs
sinytra,Sinytra,https://github.com/Sinytra
sceneview,Sceneview,https://github.com/sceneview
wbds-la,WBDS LA,https://github.com/WomenBioinfoDataScLA
kube-hetzner,Kube Hetzner,https://github.com/kube-hetzner/terraform-hcloud-kube-hetzner
the-mycelium-network,The Mycelium Network,https://github.com/The-Mycelium-Network/the-mycelium-network
openinput,openinput,https://github.com/openinput-fw
chaoss-africa,CHAOSS Africa,https://github.com/chaoss/Chaoss-Africa
centrifugal,Centrifugal,https://github.com/centrifugal
mobx-react-form,mobx-react-form,https://github.com/foxhound87
vignette,Vignette,https://github.com/vignetteapp
gab,GAwesomeBot,https://github.com/GAwesomeBot
handycontrol,HandyControl,https://github.com/HandyOrg/HandyControl
dockle,Dockle,https://github.com/goodwithtech/dockle
jetbrains-one-dark-theme,JetBrains One Dark Theme,https://github.com/one-dark
bagisto,Bagisto - Laravel eCommerce,https://github.com/bagisto/bagisto
react-admin,React Admin,https://github.com/marmelab/react-admin
datahike,Datahike,https://github.com/replikativ/datahike
ya-webadb,Tango ADB,https://github.com/yume-chan/ya-webadb
arviz,ArviZ,https://github.com/arviz-devs
imask,imaskjs,https://github.com/uNmAnNeR/imaskjs
blogmarks,Blogmarks,https://github.com/znarf/blogmarks3
rizin,Rizin,https://github.com/rizinorg
jekyll-admin,Jekyll Admin,https://github.com/jekyll/jekyll-admin
koko-analytics,Koko Analytics,https://github.com/ibericode/koko-analytics
opencollective-oss,Open Collective OSS,https://github.com/opencollective/opencollective
openml,OpenML,https://github.com/openml
rustfest,The RustFest Project,https://github.com/rustfesteu
opencannabis,OpenCannabis,https://github.com/OpenCannabis
pest,Pest,https://github.com/pest-parser/pest
pdm,Pdm,https://github.com/pdm-project
hyphacoop,Hypha Worker Co-op,https://github.com/hyphacoop
beawitching,Beawitching Communities,https://github.com/beawitcht/transinformed-server
hpx,HPX,https://github.com/STEllAR-GROUP/hpx
k2vr,K2VR,https://github.com/kinecttovr
commitizen-tools,Commitizen Tools,https://github.com/commitizen-tools/commitizen
sourcery,Sourcery,https://github.com/krzysztofzablocki
vscode-conventional-commits,VSCode Conventional Commits,https://github.com/vivaxy/vcode-conventional-commits
tidal-media-downloader,Tidal Media Downloader,https://github.com/yaronzz/Tidal-Media-Downloader
sciml,SciML,https://github.com/SciML
g-4-g,G4G,https://github.com/MarcTowler/discord-bot
themainframe,Plex Utills,https://github.com/jkirkcaldy
diskframe,disk.frame collective,https://github.com/xiaodaigh/disk.frame
castopod,Castopod,https://github.com/ad-aures/castopod
thinkingwithgames,Thinking With Games,https://github.com/AlinaWithAFace
consciousdigital,Conscious Digital,https://github.com/your-digital-rights
abap-observability-tools,abap-observability-tools,https://github.com/abap-observability-tools
yamada-ui,Yamada UI,https://github.com/yamada-ui/yamada-ui
aravis-project,Aravis Project,https://github.com/AravisProject
conda-forge,conda-forge,https://github.com/conda-forge
suneditor,SunEditor,https://github.com/JiHong88/SunEditor
gqless,gqless,https://github.com/samdenty/gqless
watchit,Watchit,https://github.com/WatchitDev
sweetalert,SweetAlert,https://github.com/t4t5/sweetalert
bismuth,Bismuth,https://github.com/bismuth
aletheia-data,Aletheia Data,https://github.com/Aletheia-Data
sollumz,Sollumz,https://github.com/Sollumz
vendure-ecommerce,Vendure,https://github.com/vendure-ecommerce
ueransim,UERANSIM,https://github.com/aligungr/UERANSIM
typeorm-fixtures,typeorm-fixtures,https://github.com/RobinCK/typeorm-fixtures
redmodding,Red modding,https://github.com/WolvenKit
dcat-admin,Dcat Admin,https://github.com/jqhph
jump,JuMP,https://github.com/jump-dev/JuMP.jl
apiato,Apiato,https://github.com/apiato/apiato
apiflask,APIFlask,https://github.com/greyli/apiflask
anotherredisdesktopmanager,Another Redis Desktop Manager,https://github.com/qishibo/AnotherRedisDesktopManager
aedes,Aedes,https://github.com/moscajs/aedes
companionintelligence,Companion Intelligence,https://github.com/CompanionIntelligence
openseadragon,OpenSeadragon,https://github.com/openseadragon
coopcycle,CoopCycle,https://github.com/coopcycle
wearedotnet,WeAreDotnet,https://www.github.com/wearedotnet
razonyang-foss,Razon Yang's FOSS,https://github.com/razonyang
express-cassandra,Express Cassandra,https://github.com/masumsoft/express-cassandra
whatsie,Whatsie,https://github.com/keshavbhatt
westpa,WESTPA,https://github.com/westpa
cobbler,Cobbler,https://github.com/cobbler
urql-graphql,urql GraphQL,https://github.com/urql-graphql/
