slug,name,gitlab-url
exosphere-foundation,Exosphere Foundation,https://gitlab.com/exosphere/exosphere
castopod,Castopod,https://code.castopod.org/adaures/castopod
noeappio,NOÉ - Planification d'événements,https://gitlab.com/alternatiba/noe
liberaforms,LiberaForms,https://gitlab.com/liberaforms
izzyondroid,IzzyOnDroid,https://gitlab.com/IzzyOnDroid
fuiz,Fuiz,https://gitlab.com/opencode-mit/fuiz
developers-for-future,DevelopersForFuture,https://gitlab.com/developersforfuture
cleverlibre,CleverLibre,https://git.cleverthis.com/
aq-org1,AQ ORG,https://gitlab.com/aqorg/AQ
8oc,8o-COLLECTIVE,https://gitlab.com/8o-collective
headlineanalyzer,HeadlineAnalyzer,https://gitlab.com/headline-analyzer/headlineanalyzer
andreijiroh-dev,Andrei Jiroh's Lair,https://mau.dev/ajhalili2006
fcd-bot,FCD Bot,https://gitlab.com/footy_/fcd-bot
tnl-project,TNL Project,https://gitlab.com/tnl-project/tnl
oasci,OASCI,https://gitlab.com/oasci
artify,Artify,https://gitlab.com/artifylabs
f-droid,F-Droid ($),https://gitlab.com/fdroid
veloren,Veloren,https://gitlab.com/veloren/veloren
meet-coop,Meet.coop,https://gitlab.com/meet.coop
f-droid-euro,F-Droid (€),https://gitlab.com/fdroid
osarch,OSArch - Open Source in AEC,https://gitlab.com/osarch
xfce,Xfce,https://gitlab.xfce.org/
nirvati,Nirvati,https://gitlab.com/nirvati
norrebrospace,Nørrebro.space,https://gitlab.com/AsbjornOlling/norrebro.space
crystal-linux,Crystal Linux,https://gitlab.com/crystal-linux
moa,Moa,https://gitlab.com/fedstoa/moa
