slug,name,instagram-url
frontyard-projects,Frontyard Projects,https://www.instagram.com/frontyardorg/
keffiyeh-aid-project,Keffiyeh Aid Project,https://www.instagram.com/keffiyeh_aid_project
lexington-tool-library,Lexington Tool Library,https://www.instagram.com/lextoollibrary
greenspell,Greenspell Organization,https://www.instagram.com/greenspellorg
frome-pride,Frome Pride,https://www.instagram.com/fromepride/
wewrite-app,WeWrite App,https://www.instagram.com/getwewrite/
tlc,Trans Liberation Cambridge,https://instagram.com/trans.liberation.cambridge
fff-mexico,Fridays For Future Mexico,https://instagram.com/vxfmex
mhw,Melanin Health & Wellness,https://melanin_hw/
bi4farmers,Basic Income For Farmers,https://www.instagram.com/bi4farmers/
abqciqlovia,ABQ CiQlovía,https://instagram.com/abqciqlovia
first-collective-614,FIRST Collective,https://www.instagram.com/firstcollective614/?hl=en
cowley-climate-collective,Cowley Climate Collective,https://www.instagram.com/cowleycollect/
the_y_berlin,the Y Berlin @ MOOS,https://www.instagram.com/the_y_berlin
libraryeconomynyc,Library Economy NYC,https://instagram.com/libraryeconomy
generation-earth-portugal,Generation Earth Portugal,https://www.instagram.com/generationearthpt/
sarbat-sikh-lgbt,Sarbat Sikh LGBT,https://www.instagram.com/sarbatlgbtsikh/
frazier-mtn-pride-org,Frazier Mtn Pride,https://www.instagram.com/fraziermtnpride
rot-collective,ROT Collective (fka The Rights Collective),https://www.instagram.com/rot__collective/
vatsimspain,VATSIM Spain,https://www.instagram.com/vatsimspain/
b-local-texas,B Local Texas,https://www.instagram.com/blocaltexas/
students-for-future-freiburg,Students for Future Freiburg,https://www.instagram.com/studentsforfuturefreiburg/
veganarchy,Veganarchy,https://www.instagram.com/veganarchy.be/
workshop-and-riset-informatika,Workshop & Riset Informatika,https://www.instagram.com/wri_polinema/
ypc-community-fund,YPC Community Fund,https://www.instagram.com/youthpowercoalition
earth-social-conference,Earth Social Conference,https://www.instagram.com/earthsocialconference/
nobo-house,Nobo Wellness,https://instagram.com/nobohouse
whitstable-foodies-market,Whitstable Umbrella Community Centre,https://www.instagram.com/whitstablefoodiesmarket/
ukraine-war-archive,Ukraine War Archive,https://www.instagram.com/ukrainewararchive/
gnv-liberation-collective,Liberation Collective,https://www.instagram.com/liberation___collective/
otherwisemag,OtherwiseMag,https://www.instagram.com/otherwisemagz/
fridays-for-future-heidelberg,Fridays for Future Heidelberg,https://www.instagram.com/fridaysforfuture_heidelberg/?utm_source=ig_web_button_share_sheet&igshid=OGQ5ZDc2ODk2ZA==
xr-hautes-alpes,XR Hautes-Alpes,https://xr_hautesalpes/
kettenreaktion-osnabruck,Kettenreaktion Osnabrück,https://www.instagram.com/kettenreaktion_os/
donderberg-sauvage,Donderberg Sauvage,https://donderbergsauvage.be/
mvma-transfer-resort,MvMA by Wiedjai Dihal & Lenn Cox,https://www.instagram.com/lenncox/
deburgers,deBurgers van Grobbendonk en Bouwel,https://www.instagram.com/de_burgers/
slow-circular-earth-uk,Slow Circular Earth UK,https://www.instagram.com/slowcircularearthuk/
encampment-vub,Encampment VUB,https://www.instagram.com/encampment_vub/
transcaf-bristol,Transcaf Bristol,https://instagram.com/thecaf.co.uk
york-together,York Together,https://www.instagram.com/york.together/
feedthatkid,Feed that Kid Global,https://www.instagram.com/feed_that_kid_global
initiative-konsumraumgeben,Initiative #KonsumRaumGeben,https://www.instagram.com/konsumraumgeben/
casa-finca-wellness,Casa Finca Wellness,https://www.instagram.com/casafincanyc/
macc_nyc,MACC NYC,https://www.instagram.com/macc_nyc/
balade-sous-marine,Balade sous marine,https://instagram.com/baladesousmarine?igshid=MzNlNGNkZWQ4Mg==
solidarity-economy-association,Solidarity Economy Association,https://www.instagram.com/solidarityeconomyassociation/
uprising-commissary-fund,Uprising Commissary Fund,https://www.instagram.com/mnuprising/
the-open-circle-foundation,The Open Circle Foundation,https://weareopencircle/
campbellarchive,Campbell Archive,https://www.instagram.com/campbell_banners/
when-we-talk-we-heal,When We Talk We Heal,https://instagram.com/whenwetalkweheal?igshid=YmMyMTA2M2Y=
cutteslowe-greenhouse,Cutteslowe Greenhouse,https://www.instagram.com/cutteslowegreenhouse/
bears-place,Bears Place,https://bearsplace/
chicago-punks-with-lunch,Chicago Punks With Lunch,https://www.instagram.com/chicagopunkswithlunch/
femme-defensa,Femme Defensa,https://instagram.com/femmedefensa?igshid=Zjc2ZTc4Nzk=
