slug,name,linkedin-url
reqnroll,Reqnroll,https://www.linkedin.com/company/reqnroll/
wewrite-app,WeWrite App,https://www.linkedin.com/company/98156314/admin/feed/posts/
vendure-ecommerce,Vendure,https://www.linkedin.com/company/85382901/
b-local-texas,B Local Texas,https://www.linkedin.com/company/b-local-texas/
domino-ui,Domino Ui,https://linkedin.com/company/dominokit
ukraine-war-archive,Ukraine War Archive,https://www.linkedin.com/company/ukrainewararchive/
civic-tech-field-guide,Civic Tech Field Guide,https://www.linkedin.com/company/72764648/
lowdefy-os,Lowdefy,https://www.linkedin.com/company/lowdefy-inc
kia-kotahi-ako,Kia Kotahi Ako,https://www.linkedin.com/company/kia-kotahi
the-open-circle-foundation,The Open Circle Foundation,https://weareopencircle/
civipedia,Civipedia.org,https://www.linkedin.com/company/civipediaglobal/
civic-tech-dc,Civic Tech DC,https://www.linkedin.com/company/97208394/
playfulprogramming,Playful Programming,https://www.linkedin.com/company/unicorn-utterances
corporate-purpose-project,Corporate Purpose Project,https://www.linkedin.com/company/corporate-purpose-project/
ehotransition,Eho! Transition,https://www.linkedin.com/company/eho-transition
bring-back-euro-trains,Bring Back Euro Trains,https://www.linkedin.com/company/bring-back-euro-trains/
incredibleedibleleeds,Incredible Edible Leeds,ttps://www.linkedin.com/company/edibleleeds
precious-plastic-collective,Precious Plastic Collective,https://www.linkedin.com/company/precious-plastic-plymouth-and-tavistock/
moduleart,ModuleArt,https://www.linkedin.com/in/eugene-volynko-a98564193/
calm-technology,The Calm Technology Foundation,https://www.linkedin.com/in/caseorganic/
efuf,European Forum on Urban Forestry (EFUF),https://www.linkedin.com/company/european-forum-on-urban-forestry/
the-innovators-league,The Innovators' League,https://theinnovatorsleague/
re-storied,re:storied,https://www.linkedin.com/company/re-storied/
spacemakers-bristol,Spacemakers Bristol,https://www.linkedin.com/company/spacemakers-bristol/
agile-retreat,Agile Retreat,https://www.linkedin.com/company/agile-greece-retreat/
circuitverse,CircuitVerse,https://www.linkedin.com/company/circuitverse/
tiptap,Tiptap,https://www.linkedin.com/company/tiptapdev/
automatio,Automatio,https://www.linkedin.com/company/automatio/
microcks,Microcks,https://www.linkedin.com/company/microcks
openglobusjs,OPENGLOBUS-JS,https://www.linkedin.com/company/openglobus
green-silk-road,Green Silk Road,https://www.linkedin.com/company/the-green-silk-road/
papillon,Papillon,https://www.linkedin.com/company/getpapillonapp/
opensandiego,Open San Diego,https://www.linkedin.com/company/open-san-diego/about/
youth-biodiversity-collective,Youth Biodiversity Collective,https://www.linkedin.com/company/youth-biodiversity-collective/
grenadinandco,Grenad'in,https://www.linkedin.com/company/grenadin/?viewAsMember=true
wings-trust,Wings Trust,https://www.linkedin.com/company/rebel-business-school-aotearoa/
wandering-emotions-cic,Wandering Emotions,https://www.linkedin.com/company/100528442/admin/dashboard/
foundersrc,Founders Running Club,http://linkedin.com/company/foundersrc/
evoinos-heritage,Evoinos Heritage,https://www.linkedin.com/company/evoinos/
dyrectorio-platform,dyrector.io platform,https://www.linkedin.com/company/dyrectorio/
gdg-montreal,GDG Montreal,https://www.linkedin.com/company/gdgmontreal/
boardswales,Boards Wales,https://www.linkedin.com/company/boards-wales/
we-are-peers,We are peers,https://www.linkedin.com/company/we-are-peers/
sabf,SABF,https://www.linkedin.com/company/south-american-business-forum
startups-for-all,Startups for All,https://linkedin.com/company/startupsforall
voedselparkamsterdam,Stichting Voedselpark Amsterdam,https://www.linkedin.com/company/voedselpark-amsterdam
superbloom-fundoss,Superbloom FUNDOSS,https://www.linkedin.com/company/superbloomdesign/
disqada,Discord Qada | قادة دسكورد,https://linkedin.com/company/disqada
oxford-cv,Oxford CV - Professional CV Writing Service,https://www.linkedin.com/in/oxfordcv/
adithyaakrishna,Adithya Krishna,https://linkedin.com/in/adiiikris
stem-education-indian-language,STEM education in Indian languages,https://www.linkedin.com/in/sunil-anandatheertha/
open-science-community-egypt,Open Science Community Egypt,https://www.linkedin.com/company/97899350/admin/feed/posts/
aid4gaza,Aid4Gaza,https://www.linkedin.com/in/majdmashharawi/
davidmyersdev-oss,David Myers (OSS),https://linkedin.com/in/davidmyersdev
anserve,Anserve Inc.,https://www.linkedin.com/company/anserve
rubelrana,Md Rubel Rana,https://www.linkedin.com/in/ranarubel/
take-back-your-data,Take Back Your Data,https://www.linkedin.com/company/105106442/
easytimemanager,EasyTimemanager,https://www.linkedin.com/in/farhad--mammadov/
djangosocial,Django.Social,https://www.linkedin.com/company/djangosocial/
tree-pp,Tree++,https://www.linkedin.com/company/tree-pp
crisisresolutions,Crisis Resolutions,https://www.linkedin.com/company/37864861
rexpi,Rexpi,https://www.linkedin.com/in/wahome-mutahi-708535219?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app
africanrn,African Reproducibility Network (AREN),https://www.linkedin.com/company/african-reproducibility-network/
eegai,EEGAI,https://www.linkedin.com/in/eegaisrilanka
biohacking-co-mmunity,Biohacking Community,https://www.linkedin.com/company/biohackingcommunity/
test-account-44,Test account,https://x/
italia-open-source,Italia Open-Source,https://www.linkedin.com/company/italia-open-source
youth-advantage-uk,Youth Advantage UK,https://www.linkedin.com/company/youth-advantage-uk/
lechodusudmadagascar,L'ÉCHO DU SUD,https://www.linkedin.com/company/lechodusud
healing-our-healers,Healing Our Healers,https://www.linkedin.com/company/healing-our-healers/
happyhackingspace,Happy Hacking Space,https://www.linkedin.com/company/happyhackingspace
open-adalab,Open adalab,https://www.linkedin.com/company/adalab-provence
serp,SERP,https://www.linkedin.com/company/serpcompany/
open-south-data,Open South,https://www.linkedin.com/company/100535350
step-to-egypt-2,Step to Egypt,https://www.linkedin.com/company/step-to-egypt
dolphin-communication,Dolphin Communication,https://www.linkedin.com/in/sergemasse/
arkalab,Arka,https://linkedin.com/company/arkalab/
etechnocrats,Etechnocrats,https://www.linkedin.com/company/eatechnocrats/
projectelric,Project Elric,https://www.linkedin.com/company/projectelric
