slug,name,mastodon-url
librepcb,LibrePCB,https://fosstodon.org/@librepcb
tlc,Trans Liberation Cambridge,https://octodon.social/@translibcam
rizin,Rizin,https://fosstodon.org/@rizin
karrot,Karrot,https://fosstodon.org/@karrot
castopod,Castopod,https://podlibre.social/@Castopod
devianze-city,Devianze Social,https://devianze.city/@janitor
norcalsocial,NorCal.social,https://norcal.social/
prav-ios,Prav Messaging App for iOS,https://venera.social/profile/prav
uv,urbanists.video,https://urbanists.social/@video
civic-tech-field-guide,Civic Tech Field Guide,https://urbanists.social/@civictech
majstrownia,Majstrownia - Solarpunk Makerspace,https://floss.social/@majstrownia
solidarity-economy-association,Solidarity Economy Association,https://mastodon.social/@SolidarityEcon
scidsg,Science & Design,https://fosstodon.org/@scidsg
hoosier-social,Hoosier Social,https://hoosier.social/@hoosiersocial
nodebook,Node.js • Apprendre par la pratique,https://diaspodon.fr/@thom4
ronin-rb,Ronin,https://infosec.exchange/@ronin_rb
thulite,Thulite,https://fosstodon.org/@thulite
le-conseil,Le Conseil,https://mastodon.social/@leconseil
privacylx,PrivacyLx,https://mastodon.social/@privacylx
liberaforms,LiberaForms,https://fosstodon.org/@liberaforms
sfml,SFML,https://fosstodon.org/@sfml
izzyondroid,IzzyOnDroid,https://floss.social/@IzzyOnDroid
creatodon,Creatodon,https://gamelinks007.net/@S_H_
gephi,Gephi,https://vis.social/@Gephi
accessibility-wars,Accessibility Wars,https://gw2.social/berdandy
microcks,Microcks,https://hachyderm.io/@microcksio@mastodon.social
tenzing,tenzing,https://neuromatch.social/@tenzingContrib
discordia-collective,Discordia Collective,https://fedi.afra.berlin/@april
bugbakery,The Vegan Bug Bakery,https://chaos.social/@bugbakery
rabharta,Rabharta,https://mastodon.ie/@rabhartaparty
nf-core,nf-core,https://mstdn.science/@nf_core
pona,ma pona pi toki pona,https://toki.social/@suno
boardswales,Boards Wales,https://toot.wales/boardswales
cmc,Mr. V,https://social.chaosmagick.com/
voedselparkamsterdam,Stichting Voedselpark Amsterdam,https://mastodon.social/@VoedselparkAmsterdam
rocketcitymedics,Rocket City Medic Collective,https://kolektiva.social/@rocketcitymedics
superbloom-fundoss,Superbloom FUNDOSS,https://mastodon.design/@sprblm
cleverlibre,CleverLibre,https://qoto.org/
emelia-smith,Emelia Smith,https://hachyderm.io/@thisismissem
podsframework,Pods Framework,https://fosstodon.org/@pods
mastodonph,Mastodon Philippines Community,https://mastodon.social/@sechipeanut
disqada,Discord Qada | قادة دسكورد,https://mastodon.social/discqada
ttns,The Tech News Source,https://mstdn.social/@thetechnewssource
igraph,igraph,https://fosstodon.org/@igraph
docepasos,docepasos.org,https://social.docepasos.org/@docepasos
api-platform,API Platform,https://fosstodon.org/@ApiPlatform
galette,Galette,https://framapiaf.org/@galette
org013,Guz's Collective,https://mastodon.social/@guz013
arrrg,Antifascist Research Recon & Reporting Group,https://kolektiva.social/@revolt3d
wxcloud,WxCloud,https://wxcloud.social/
portal-2-community-edition,Portal 2: Community Edition,https://mastodon.gamedev.place/@p2ce
biohacking-co-mmunity,Biohacking Community,https://science.social/@biohacking
kronomoon,Krononaut Moon,https://me.dm/KronoMoon.org
legacycoderocks,Legacy Code Rocks,https://toot.legacycode.rocks/@legacycoderocks
5ht2,5ht2,https://social.treehouse.systems/@5ht2
p2panda,p2panda,https://autonomous.zone/@p2panda
kanojo,Kanojo,https://mastodon.social/@kanojodb
mastodon-uno,Mastodon.Uno,https://mastodon.uno/amministratore
startup-founders-club,Startup Founders Club,https://mastodon.social/@startupfoundersclub
sk5s,sk5s,https://mastodon.social/@sk5s
impulso-bioelectrico,Impulso Bioeléctrico,https://social.anartist.org/@rickyaka
refa-lsa,REFA Sachsen-Anhalt e.V.,https://bildung.social/@refa
access-jobs,Access Jobs,https://indieweb.social/@AccessJobs
awesome-neurodiversity,Awesome Neurodiversity,https://plasmatrap.com/AwesomeND
magpie-market,Magpie Market,https://fosstodon.org/@magpiemarket
mefisocial,mefi.social,https://mefi.social/
castorisdead,Castor,https://fosstodon.org/@whoisyoges
limeleaf,Limeleaf Worker Collective,https://social.coop/@limeleaf
byt3n33dl3,byt3n33dl3,https://infosec.exchange/@byt3n33dl3
no-bull,No Bull,https://mstdn.social/@BrendanO
saptodon,saptodon,https://saptodon.org/
universeodon,Universeodon,https://universeodon.com/@supernovae
pouncetodon,pouncetodon,https://pounced-on.me/
reactive-graph,Reactive Graph,https://floss.social/@reactive_graph
esmailelbob,Esmail EL BoB,https://social.esmailelbob.xyz/@esmail
pingutec,pingutec,https://machteburch.social/@aj
dovietdung93,Đỗ Việt Dũng,https://mastodon.online/@dovietdung93
lasastudents,Students United,https://union.place/@lasastudents
consuldemocracy,Consul Democracy,https://waag.social/@consuldemocracy
scarves,Friends of DeSoto Social,https://friendsofdesoto.social/
phpfoundation,PHP Foundation,https://phpc.social/@thephpf
11ty,Eleventy,https://fosstodon.org/@eleventy
jellyfin,Jellyfin,https://mastodon.online/@jellyfin
getsolus,Solus,https://fosstodon.org/@solus
f-droid,F-Droid ($),https://floss.social/@fdroidorg
crystal-lang,Crystal Language,https://fosstodon.org/@CrystalLanguage
linuxserver,LinuxServer,https://mastodon.linuxserver.io/@linuxserver
mastodonie,Mastodon.ie,https://mastodon.ie/@mastodon.ie
mpls-northside-mutual-aid,Minneapolis Northside Mutual Aid,https://urbanists.social/@nearnorth
scientist-rebellion,Scientist Rebellion,https://social.rebellion.global/@ScientistRebellion
cryptpad,CryptPad,https://fosstodon.org/@cryptpad
sfba-mastodon,SFBA (Mastodon),https://sfba.social/@announcements
gitea,Gitea,https://social.gitea.io/@gitea
open-web-docs,Open Web Docs,https://front-end.social/@openwebdocs
tusky,Tusky,https://mastodon.social/@Tusky
cambridgesolidarityfund,Cambridge Solidarity Fund,https://octodon.social/@SolidarityCam/
ladigitale,La Digitale,https://pouet.chapril.org/@ladigitale
neovim,neovim,https://hachyderm.io/@neovim
vyos,VyOS Project Collective,https://vyos.social/
veloren,Veloren,https://floss.social/@veloren
postmarketos,postmarketOS,https://fosstodon.org/@postmarketOS
homebrew,Homebrew,https://fosstodon.org/@homebrew
servo,Servo,https://floss.social/@servo
opensourcedesign,Open Source Design,https://mastodon.social/@opensourcedesign
pnpm,pnpm,https://fosstodon.org/@pnpm
meshtastic,Meshtastic,https://mastodon.social/@meshtastic
offensiveeco,L'Offensive,https://mastodon.social/@offensive
f-droid-euro,F-Droid (€),https://floss.social/@fdroidorg
cgn-federated-services,CGN Federated Services,https://social.cologne/
firefish,Firefish,https://info.firefish.dev/@firefish
mollyim,Molly,https://fosstodon.org/@mollyim
siduction-eu,siduction (EU),https://floss.social/@siductionlinux
antennapod,AntennaPod,https://fosstodon.org/@AntennaPod
anartist,Anartist.org,https://social.anartist.org/@anartist
courtbouillon,CourtBouillon,https://fosstodon.org/@courtbouillon
mixxx,Mixxx DJ Software,https://floss.social/@mixxx
openscad,OpenSCAD,https://fosstodon.org/@OpenSCAD
hledger,hledger,https://fosstodon.org/@simonmic
mstdnparty,mstdn.party,https://mstdn.party/@staff
osarch,OSArch - Open Source in AEC,https://fosstodon.org/@osarch
scientifiques-en-rebellion,Scientifiques en rébellion,https://piaille.fr/@scientifiques_en_rebellion
the-rockstor-project,The Rockstor Project,https://mastodon.world/@TheRockstorProject
prismlauncher,Prism Launcher,https://prismlauncher.org/mastodon
php_codesniffer,PHP CodeSniffer,https://phpc.social/@phpcs
buddies-of-budgie,Buddies of Budgie,https://floss.social/@BuddiesOfBudgie
privacyguides,Privacy Guides,https://mastodon.neat.computer/@privacyguides
podlove,Podlove,https://fosstodon.org/@podlove
sucho,Saving Ukrainian Cultural Heritage Online,https://mastodon.social/@sucho@hcommons.social
thexylom,The Xylom,https://journa.host/@thexylom
azuracast,AzuraCast,https://fosstodon.org/@azuracast
piratpartiet,Piratpartiet,https://mastodon.social/@piratpartiet
task,Task,https://fosstodon.org/@task
fakerjs,Faker,https://fosstodon.org/@faker_js
woodpecker-ci,Woodpecker CI,https://floss.social/@WoodpeckerCI
organicmaps,Organic Maps,https://fosstodon.org/@organicmaps
amplifying-fsharp,Amplifying FSharp,https://mastodon.social/@amplifyingfsharp
ramblingreaders,Rambling Readers,https://toot.community/@ramblingreaders
communitybridge,CommunityBridge,https://%40FreeScholar@social.coop/
fc-mastodon-japan,FC Mastodon Japan,https://famichiki.jp/
monnaie-libre,Astroport,https://mastodon.social/@qoop
mstdnscience,mstdn.science,https://mstdn.science/@happykhan
dat,dat ecosystem,https://fosstodon.org/@dat_ecosystem
onestlatech,onestla.tech,https://mastodon.social/@onestlatech
gbdev,gbdev,https://fedi.gbdev.io/@gbdev
pnwzone,PNW.Zone (Mastodon),https://pnw.zone/@CurtisLBray
joomla-component-builder,Joomla! Component Builder,https://joomla.social/@llewellyn
united-diversity-bridport,United Diversity Bridport,https://bridport.social/@UDBridport
quiltmc,The Quilt Project,https://tech.lgbt/@quiltmc
dosbox-staging,DOSBox Staging,https://corteximplant.com/@DOSBox_Staging
fff_muc,Fridays for Future München,https://climatejustice.global/@fff_muc
sequoia-fabrica,Sequoia Fabrica,https://sfba.social/@sequoiafabrica
wolvic,Wolvic,https://floss.social/@WolvicXR
m17-project,M17 Project,https://mastodon.radio/@m17_project
reddthat,Reddthat,https://reddthat.com/
elk,Elk,https://elk.zone/m.webtoo.ls/@elk
sciences-social,sciences.social,https://sciences.social/
cosocial,CoSocial,https://cosocial.ca/@coop
xcodesapp,XcodesApp,https://iosdev.space/@XcodesApp
thetorproject-europe,The Tor Project (€),https://mastodon.social/@torproject
litiengine,LITIENGINE,https://fosstodon.org/@gurkenlabs
boa,Boa,https://fosstodon.org/@boa_engine
fossbilling,FOSSBilling,https://fosstodon.org/@FOSSBilling
mstdnplus,MSTDN+,https://mstdn.plus/@staff
lancaster-and-morecambe-makers,Lancaster and Morecambe Makers,https://mastodonapp.uk/@lammspace
classicpress,ClassicPress,https://fosstodon.org/@classicpress
blackqueerlife,BlackQueerLife,https://blackqueer.life/
nix-deployments,Nix 💙 Deployments,https://functional.cafe/@roberth
archaeosocial,archaeo.social,https://archaeo.social/
blorbosocial,Blorbo.Social,https://blorbo.social/
cinny,Cinny,https://fosstodon.org/@cinnyapp
osmocom,Osmocom,https://fosstodon.org/@osmocom
wikis-world,Wikis World,https://wikis.world/@announcements
vitest,Vitest,https://elk.zone/m.webtoo.ls/@vitest
bnesocial,BNE Social,https://bne.social/
rde,RDE,https://fosstodon.org/tags/rde
orca_4_el,ORCA,https://climatejustice.global/@orca
klima-camp-south-tyrol,Klima-Camp South Tyrol,https://mastodon.social/@KlimacampSouthtyrol
webrecorder,Webrecorder,https://digipres.club/@webrecorder
xrnantes,Extinction Rebellion Nantes,https://social.rebellion.global/@xrNantes
spectra-video,Spectra Video,https://social.wedistribute.org/@spectra
oddbird-open-source,OddBird Open Source,https://front-end.social/@OddBird
keyoxide,Keyoxide,https://fosstodon.org/@keyoxide
animal_rebellion_germany,Animal Rebellion Deutschland,https://todon.nl/@AnimalRebellionDE
voxelibre,VoxeLibre,https://fosstodon.org/@VoxeLibre
bldrweb,Bldrweb,https://toot.bldrweb.org/
bonfire-networks,Bonfire Networks,https://indieweb.social/@bonfire
act-fund,Alliance of Civic Technologists,https://mastodon.social/@allianceofcivictechnologists
