slug,name,twitter-url
camerakit-android,CameraKit-Android,https://twitter.com/wonderkiln
memos,Memos,https://twitter.com/usememos
wiad-pittsburgh,World IA Day Pittsburgh,https://twitter.com/wiad_pgh
react-google-maps-api,React Google Maps Api,https://twitter.com/justfly1984
refi-lisboa,ReFi Lisboa,https://twitter.com/ReFiLisboa
otree,oTree,https://twitter.com/otree
librepcb,LibrePCB,https://twitter.com/librepcb
bsidesphilly,BSidesPhilly 2024,https://twitter.com/BSidesPhilly
mue,Mue,https://twitter.com/getmue
lexington-tool-library,Lexington Tool Library,https://twitter.com/lextoollibrary
paris-typescript,Paris Typescript,https://twitter.com/ParisTypeScript
wewrite-app,WeWrite App,https://twitter.com/WeWriteApp
iplug2,iPlug2 Developers,https://twitter.com/olilarkin
open-chemistry,Open Chemistry,https://twitter.com/openchem
joomla-cms,The Joomla! Project,https://twitter.com/joomla
fff-mexico,Fridays For Future Mexico,https://twitter.com/vxfmex
wordpress-sf,WordPress SFO,https://twitter.com/wpsfo
wbds-la,WBDS LA,https://twitter.com/WBDSLA
openinput,openinput,https://twitter.com/openinputfw
chaoss-africa,CHAOSS Africa,https://twitter.com/chaoss_africa
mobx-react-form,mobx-react-form,https://twitter.com/foxhound87
vignette,Vignette,https://twitter.com/vignette_org
hackneycopwatch,Hackney Cop Watch,https://twitter.com/HackneyCopWatch
the-light-inside-film,The Light Inside,https://twitter.com/LightInsideFilm
bagisto,Bagisto - Laravel eCommerce,https://twitter.com/BagistoShop
react-admin,React Admin,https://twitter.com/ReactAdmin
mhw,Melanin Health & Wellness,https://melanin_hw/
regen-village,Regen Village,https://twitter.com/regensunite
datahike,Datahike,https://twitter.com/datahike_io
openfoodnetworkuk,Open Food Network UK,https://twitter.com/OpenFoodNetUK
arviz,ArviZ,https://twitter.com/arviz_devs
blogmarks,Blogmarks,https://twitter.com/blogmarks
rizin,Rizin,https://twitter.com/rizinorg
jekyll-admin,Jekyll Admin,https://twitter.com/mertkahyaoglu
abqciqlovia,ABQ CiQlovía,https://twitter.com/abqciqlovia
opencollective-oss,Open Collective OSS,https://twitter.com/opencollect
openml,OpenML,https://twitter.com/open_ml
rustfest,The RustFest Project,https://twitter.com/rustfest
pdm,Pdm,https://twitter.com/frostming90
hyphacoop,Hypha Worker Co-op,https://twitter.com/hyphacoop
beawitching,Beawitching Communities,https://twitter.com/Beawitching_CIC
k2vr,K2VR,https://twitter.com/kinecttovr
the-stweets-fund,The Stweets Fund,https://twitter.com/stweetsfund
sourcery,Sourcery,https://twitter.com/merowing_
sciml,SciML,https://twitter.com/SciML_Org
g-4-g,G4G,https://twitter.com/Guardians4G
first-collective-614,FIRST Collective,https://twitter.com/F1RSTCollective
diskframe,disk.frame collective,https://twitter.com/evalparse
cowley-climate-collective,Cowley Climate Collective,https://twitter.com/cowleycollect/
castopod,Castopod,https://twitter.com/castopod
tolaga,Tolaga Bay Innovation,https://twitter.com/StenderLily
thinkingwithgames,Thinking With Games,https://twitter.com/AlinaWithAFace
ucu-royal-college-of-art,UCU Royal College of Art,https://twitter.com/rcaucu
consciousdigital,Conscious Digital,https://twitter.com/ConsciousDigit
abap-observability-tools,abap-observability-tools,https://twitter.com/abapObservTools
conda-forge,conda-forge,https://twitter.com/condaforge
openvidu,OpenVidu WebRTC Platform,https://twitter.com/openvidu
gqless,gqless,https://twitter.com/gqlessdev
watchit,Watchit,https://twitter.com/watchit_app
aletheia-data,Aletheia Data,https://twitter.com/DataAletheia
vendure-ecommerce,Vendure,https://twitter.com/vendure_io
skgjug,Thessaloniki Java Meetup,https://twitter.com/skg_jug
not-a-trend,Not a Trend,https://twitter.com/not_a_trend
jump,JuMP,https://twitter.com/JuMPjl
apiato,Apiato,https://twitter.com/Mahmoud_Zalt
apiflask,APIFlask,https://twitter.com/apiflask
sarbat-sikh-lgbt,Sarbat Sikh LGBT,https://twitter.com/SarbatSikhs
frazier-mtn-pride-org,Frazier Mtn Pride,https://twitter.com/FrazierMtnPride
companionintelligence,Companion Intelligence,https://twitter.com/CompanionIntel
openseadragon,OpenSeadragon,https://twitter.com/openseadragon
endfossilbcn,EndFossil Barcelona,https://twitter.com/EndFossilBCN
coopcycle,CoopCycle,https://twitter.com/coopcycle
wearedotnet,WeAreDotnet,https://www.twitter.com/wearedotnet
partidodigital,Partido Digital,https://twitter.com/PDigitalUY
ng-toolkit,ng-toolkit,https://twitter.com/MaciejTreder
